id,name,captain_id,logo,tournament_id,createdAt,updatedAt
5480,Kylan.eLzFF,35491,https://metacoweb.s3.amazonaws.com/team/thumbs/1798cd425feff70eb298b6bc98da05c5.jpg,111,2021-02-02 06:55:29.609+00,2021-06-24 06:08:10.72+00
5509,TroubleMaker,35549,,111,2021-02-02 13:20:22.219+00,2021-02-02 14:14:50.731+00
5559,STARS,35953,https://metacoweb.s3.amazonaws.com/team/thumbs/6959df7be5e00a7b59079410050b2d0a.jpg,111,2021-02-03 07:37:19.883+00,2021-02-03 07:42:07.941+00
5575,Baperun tram,36059,https://metacoweb.s3.amazonaws.com/team/thumbs/9ff669e07db454e53a7d01dca75d4c35.jpg,111,2021-02-03 13:02:24.312+00,2021-02-03 13:22:22.583+00
5578,NIGHT RAID,35947,https://metacoweb.s3.amazonaws.com/team/thumbs/ed336389d7459bef29240c640182fd12.jpg,111,2021-02-03 14:13:37.75+00,2021-02-03 14:26:59.142+00
5602,Abc,36237,https://metacoweb.s3.amazonaws.com/team/thumbs/b59f9012b97292f2eca61aa5bcd4f7be.jpg,111,2021-02-05 00:53:28.762+00,2021-08-06 09:42:20.258+00
5605,Zeros,36246,https://metacoweb.s3.amazonaws.com/team/thumbs/ede5a884792434a6ea396661e176155a.jpg,111,2021-02-05 03:15:53.088+00,2021-02-18 05:24:59.837+00
5606,Sundanese18,36241,,111,2021-02-05 03:31:34.884+00,2021-02-05 03:45:53.81+00
5610,Kepepet Team,36274,https://metacoweb.s3.amazonaws.com/team/thumbs/dc776fc08d6e54ea10b165db6407a14c.jpg,111,2021-02-05 04:50:34.486+00,2021-02-05 06:27:32.513+00
5614,toxic4Core,36292,https://metacoweb.s3.amazonaws.com/team/thumbs/9ff74ac0bbdb373950959bc0c1c73021.jpg,112,2021-02-05 07:52:37.908+00,2021-02-05 07:58:34.507+00
5616,Marfel Gaming,36297,https://metacoweb.s3.amazonaws.com/team/thumbs/2e6562978a56f0e8f88cd7326e8de817.jpg,112,2021-02-05 08:22:01.438+00,2021-03-27 12:38:14.013+00
5839,Athena59,37363,,112,2021-02-09 07:03:11.209+00,2021-02-09 07:06:00.891+00
5841,UE DOTA 2,37085,https://metacoweb.s3.amazonaws.com/team/thumbs/5392592c500004e02a89d9f257f828e0.jpg,112,2021-02-09 07:18:12.689+00,2021-02-09 07:19:33.254+00
6003,Tao Kae Noi,38127,https://metacoweb.s3.amazonaws.com/team/thumbs/87dcac1936346f898327123218f6837d.jpg,112,2021-02-12 05:15:47.538+00,2021-02-13 04:05:23.51+00
6016,ME.EMEH,36058,https://metacoweb.s3.amazonaws.com/team/thumbs/eadb259366891d4cbc160cc8d9ca1f1e.jpg,112,2021-02-12 13:51:04.228+00,2021-02-16 01:41:29.519+00
6105,Sadgeboys,38629,https://metacoweb.s3.amazonaws.com/team/thumbs/fdd4a0185135e50c4c71085ad5e63741.jpg,112,2021-02-14 10:24:43.198+00,2021-02-14 10:27:55.666+00
6228,Grind Dream,39239,https://metacoweb.s3.amazonaws.com/team/thumbs/46626e8286de5c180875461bdddf29ca.jpg,112,2021-02-15 04:57:36.616+00,2021-08-02 02:00:24.492+00
6313,SQRT Young,39706,https://metacoweb.s3.amazonaws.com/team/thumbs/8206077fbf832322070cefbc04a8ad24.jpg,112,2021-02-16 07:25:52.383+00,2021-02-16 07:53:33.501+00
6351,Holy +4,39907,,112,2021-02-17 10:15:07.655+00,2021-02-17 16:28:22.131+00
6365,TROUBLEMAKER,39973,https://metacoweb.s3.amazonaws.com/team/thumbs/f05b01374d736635c31e72921605d4bf.jpg,113,2021-02-18 02:21:42.427+00,2021-02-18 02:28:36.26+00
6390,ALCO,40140,https://metacoweb.s3.amazonaws.com/team/thumbs/f4c95f9808ce464bbf8b89296d031312.jpg,113,2021-02-20 13:01:22.138+00,2021-02-20 13:06:17.33+00
6394,Rat Doto,40152,https://metacoweb.s3.amazonaws.com/team/thumbs/3149705e182c75e776b2717c1edc5ca0.jpg,113,2021-02-21 01:16:59.153+00,2021-02-21 01:24:21.069+00
6506,VERMILION7,40749,https://metacoweb.s3.amazonaws.com/team/thumbs/7b7369879b00211372b30ae9825603e7.jpg,113,2021-02-23 13:10:19.822+00,2021-03-01 11:01:02.633+00
